wage,educ,educ2,educ3,educ4,educ5,age,age2,age3,age4,age5
1920000,12,144,1728,20736,248832,31,961,29791,923521,28629151
684000,14,196,2744,38416,537824,29,841,24389,707281,20511149
774000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
233000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
975000,13,169,2197,28561,371293,30,900,27000,810000,24300000
1366000,12,144,1728,20736,248832,30,900,27000,810000,24300000
2137000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
7.00E+05,16,256,4096,65536,1048576,29,841,24389,707281,20511149
1200000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1161000,13,169,2197,28561,371293,36,1296,46656,1679616,60466176
729000,11,121,1331,14641,161051,34,1156,39304,1336336,45435424
750000,11,121,1331,14641,161051,36,1296,46656,1679616,60466176
1026000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1111000,15,225,3375,50625,759375,32,1024,32768,1048576,33554432
625000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1200000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
1541000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1154000,16,256,4096,65536,1048576,34,1156,39304,1336336,45435424
310000,13,169,2197,28561,371293,33,1089,35937,1185921,39135393
610000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1749000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1.00E+06,16,256,4096,65536,1048576,31,961,29791,923521,28629151
350000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
765000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
790000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
818000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
477000,9,81,729,6561,59049,30,900,27000,810000,24300000
938000,14,196,2744,38416,537824,33,1089,35937,1185921,39135393
2099000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
350000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
940000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1202000,15,225,3375,50625,759375,28,784,21952,614656,17210368
450000,15,225,3375,50625,759375,31,961,29791,923521,28629151
1058000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
1.00E+06,11,121,1331,14641,161051,37,1369,50653,1874161,69343957
318000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
556000,11,121,1331,14641,161051,34,1156,39304,1336336,45435424
958000,12,144,1728,20736,248832,28,784,21952,614656,17210368
995000,9,81,729,6561,59049,38,1444,54872,2085136,79235168
1600000,14,196,2744,38416,537824,33,1089,35937,1185921,39135393
606000,18,324,5832,104976,1889568,30,900,27000,810000,24300000
511000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1411000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
1346000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
1522000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1075000,14,196,2744,38416,537824,30,900,27000,810000,24300000
1200000,12,144,1728,20736,248832,28,784,21952,614656,17210368
1377000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
874000,13,169,2197,28561,371293,33,1089,35937,1185921,39135393
625000,13,169,2197,28561,371293,30,900,27000,810000,24300000
1250000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1082000,13,169,2197,28561,371293,36,1296,46656,1679616,60466176
693000,11,121,1331,14641,161051,38,1444,54872,2085136,79235168
727000,12,144,1728,20736,248832,31,961,29791,923521,28629151
615000,15,225,3375,50625,759375,38,1444,54872,2085136,79235168
913000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
884000,17,289,4913,83521,1419857,36,1296,46656,1679616,60466176
698000,12,144,1728,20736,248832,29,841,24389,707281,20511149
8.00E+05,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
812000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
1.00E+06,11,121,1331,14641,161051,34,1156,39304,1336336,45435424
549000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1300000,12,144,1728,20736,248832,31,961,29791,923521,28629151
923000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
1539000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
721000,12,144,1728,20736,248832,30,900,27000,810000,24300000
815000,12,144,1728,20736,248832,31,961,29791,923521,28629151
6.00E+05,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1100000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1058000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
962000,12,144,1728,20736,248832,30,900,27000,810000,24300000
433000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
940000,11,121,1331,14641,161051,29,841,24389,707281,20511149
1417000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
1.00E+06,12,144,1728,20736,248832,29,841,24389,707281,20511149
5.00E+05,13,169,2197,28561,371293,32,1024,32768,1048576,33554432
8.00E+05,14,196,2744,38416,537824,28,784,21952,614656,17210368
766000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
750000,14,196,2744,38416,537824,33,1089,35937,1185921,39135393
550000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
795000,11,121,1331,14641,161051,34,1156,39304,1336336,45435424
723000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1039000,14,196,2744,38416,537824,34,1156,39304,1336336,45435424
2.00E+05,10,100,1000,10000,100000,32,1024,32768,1048576,33554432
4.00E+05,10,100,1000,10000,100000,32,1024,32768,1048576,33554432
575000,11,121,1331,14641,161051,35,1225,42875,1500625,52521875
850000,11,121,1331,14641,161051,37,1369,50653,1874161,69343957
508000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1162000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1199000,13,169,2197,28561,371293,30,900,27000,810000,24300000
1270000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
350000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
963000,14,196,2744,38416,537824,28,784,21952,614656,17210368
1463000,15,225,3375,50625,759375,37,1369,50653,1874161,69343957
802000,12,144,1728,20736,248832,29,841,24389,707281,20511149
642000,12,144,1728,20736,248832,30,900,27000,810000,24300000
751000,13,169,2197,28561,371293,28,784,21952,614656,17210368
488000,17,289,4913,83521,1419857,31,961,29791,923521,28629151
1400000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
940000,18,324,5832,104976,1889568,31,961,29791,923521,28629151
866000,13,169,2197,28561,371293,37,1369,50653,1874161,69343957
675000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
375000,14,196,2744,38416,537824,30,900,27000,810000,24300000
325000,14,196,2744,38416,537824,33,1089,35937,1185921,39135393
346000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1442000,17,289,4913,83521,1419857,33,1089,35937,1185921,39135393
560000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
550000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
950000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
684000,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
1322000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
1634000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
417000,12,144,1728,20736,248832,30,900,27000,810000,24300000
472000,11,121,1331,14641,161051,32,1024,32768,1048576,33554432
666000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
1679000,18,324,5832,104976,1889568,32,1024,32768,1048576,33554432
1039000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
1250000,13,169,2197,28561,371293,30,900,27000,810000,24300000
760000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1154000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1602000,15,225,3375,50625,759375,37,1369,50653,1874161,69343957
1442000,13,169,2197,28561,371293,29,841,24389,707281,20511149
865000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
705000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1.00E+06,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
852000,10,100,1000,10000,100000,32,1024,32768,1048576,33554432
770000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1.00E+06,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
1329000,18,324,5832,104976,1889568,36,1296,46656,1679616,60466176
1682000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
577000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
685000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
577000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
1040000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1250000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
6.00E+05,13,169,2197,28561,371293,28,784,21952,614656,17210368
480000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1.00E+06,11,121,1331,14641,161051,29,841,24389,707281,20511149
988000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
478000,10,100,1000,10000,100000,34,1156,39304,1336336,45435424
440000,12,144,1728,20736,248832,30,900,27000,810000,24300000
485000,12,144,1728,20736,248832,30,900,27000,810000,24300000
705000,9,81,729,6561,59049,36,1296,46656,1679616,60466176
1550000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
960000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1.00E+06,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
625000,18,324,5832,104976,1889568,36,1296,46656,1679616,60466176
1346000,16,256,4096,65536,1048576,35,1225,42875,1500625,52521875
961000,12,144,1728,20736,248832,31,961,29791,923521,28629151
479000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1201000,11,121,1331,14641,161051,36,1296,46656,1679616,60466176
1346000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
1122000,18,324,5832,104976,1889568,32,1024,32768,1048576,33554432
543000,14,196,2744,38416,537824,38,1444,54872,2085136,79235168
450000,11,121,1331,14641,161051,31,961,29791,923521,28629151
507000,14,196,2744,38416,537824,32,1024,32768,1048576,33554432
547000,11,121,1331,14641,161051,34,1156,39304,1336336,45435424
586000,11,121,1331,14641,161051,35,1225,42875,1500625,52521875
462000,12,144,1728,20736,248832,29,841,24389,707281,20511149
705000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1566000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1634000,13,169,2197,28561,371293,36,1296,46656,1679616,60466176
1282000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
556000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
1200000,15,225,3375,50625,759375,33,1089,35937,1185921,39135393
855000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1053000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1.00E+06,12,144,1728,20736,248832,28,784,21952,614656,17210368
9.00E+05,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
1602000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
508000,17,289,4913,83521,1419857,31,961,29791,923521,28629151
1500000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
1682000,14,196,2744,38416,537824,32,1024,32768,1048576,33554432
750000,13,169,2197,28561,371293,35,1225,42875,1500625,52521875
843000,14,196,2744,38416,537824,29,841,24389,707281,20511149
409000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1004000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
650000,12,144,1728,20736,248832,30,900,27000,810000,24300000
808000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
2137000,13,169,2197,28561,371293,30,900,27000,810000,24300000
761000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
769000,16,256,4096,65536,1048576,35,1225,42875,1500625,52521875
345000,12,144,1728,20736,248832,31,961,29791,923521,28629151
495000,12,144,1728,20736,248832,31,961,29791,923521,28629151
987000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
2500000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1098000,14,196,2744,38416,537824,32,1024,32768,1048576,33554432
1212000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
577000,15,225,3375,50625,759375,28,784,21952,614656,17210368
390000,15,225,3375,50625,759375,30,900,27000,810000,24300000
1500000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
583000,12,144,1728,20736,248832,30,900,27000,810000,24300000
460000,11,121,1331,14641,161051,36,1296,46656,1679616,60466176
945000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1442000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
1333000,16,256,4096,65536,1048576,38,1444,54872,2085136,79235168
1500000,15,225,3375,50625,759375,33,1089,35937,1185921,39135393
1333000,16,256,4096,65536,1048576,34,1156,39304,1336336,45435424
7.00E+05,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
973000,13,169,2197,28561,371293,32,1024,32768,1048576,33554432
2162000,18,324,5832,104976,1889568,32,1024,32768,1048576,33554432
797000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
4.00E+05,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1015000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1744000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
630000,15,225,3375,50625,759375,32,1024,32768,1048576,33554432
445000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
660000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
779000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
377000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
560000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1122000,17,289,4913,83521,1419857,32,1024,32768,1048576,33554432
453000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1386000,10,100,1000,10000,100000,37,1369,50653,1874161,69343957
1539000,17,289,4913,83521,1419857,31,961,29791,923521,28629151
1154000,16,256,4096,65536,1048576,35,1225,42875,1500625,52521875
962000,14,196,2744,38416,537824,37,1369,50653,1874161,69343957
722000,16,256,4096,65536,1048576,38,1444,54872,2085136,79235168
480000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
808000,18,324,5832,104976,1889568,38,1444,54872,2085136,79235168
1442000,13,169,2197,28561,371293,36,1296,46656,1679616,60466176
1091000,13,169,2197,28561,371293,37,1369,50653,1874161,69343957
350000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
5.00E+05,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1026000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
577000,17,289,4913,83521,1419857,33,1089,35937,1185921,39135393
1333000,15,225,3375,50625,759375,30,900,27000,810000,24300000
915000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1105000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
910000,14,196,2744,38416,537824,30,900,27000,810000,24300000
1.00E+06,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1160000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1001000,12,144,1728,20736,248832,29,841,24389,707281,20511149
713000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
929000,13,169,2197,28561,371293,30,900,27000,810000,24300000
4.00E+05,12,144,1728,20736,248832,31,961,29791,923521,28629151
1241000,13,169,2197,28561,371293,33,1089,35937,1185921,39135393
1065000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
403000,12,144,1728,20736,248832,30,900,27000,810000,24300000
940000,13,169,2197,28561,371293,30,900,27000,810000,24300000
812000,10,100,1000,10000,100000,34,1156,39304,1336336,45435424
7.00E+05,10,100,1000,10000,100000,35,1225,42875,1500625,52521875
575000,10,100,1000,10000,100000,33,1089,35937,1185921,39135393
450000,10,100,1000,10000,100000,36,1296,46656,1679616,60466176
621000,12,144,1728,20736,248832,31,961,29791,923521,28629151
441000,12,144,1728,20736,248832,30,900,27000,810000,24300000
625000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
726000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
5.00E+05,9,81,729,6561,59049,38,1444,54872,2085136,79235168
1.00E+06,17,289,4913,83521,1419857,34,1156,39304,1336336,45435424
393000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
6.00E+05,12,144,1728,20736,248832,28,784,21952,614656,17210368
962000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
962000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
865000,11,121,1331,14641,161051,30,900,27000,810000,24300000
1154000,16,256,4096,65536,1048576,35,1225,42875,1500625,52521875
1386000,16,256,4096,65536,1048576,34,1156,39304,1336336,45435424
732000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
865000,13,169,2197,28561,371293,34,1156,39304,1336336,45435424
7.00E+05,12,144,1728,20736,248832,31,961,29791,923521,28629151
975000,9,81,729,6561,59049,37,1369,50653,1874161,69343957
1300000,13,169,2197,28561,371293,33,1089,35937,1185921,39135393
9.00E+05,14,196,2744,38416,537824,31,961,29791,923521,28629151
829000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1.00E+06,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
827000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
5.00E+05,13,169,2197,28561,371293,31,961,29791,923521,28629151
1155000,13,169,2197,28561,371293,28,784,21952,614656,17210368
950000,15,225,3375,50625,759375,29,841,24389,707281,20511149
7.00E+05,13,169,2197,28561,371293,30,900,27000,810000,24300000
1710000,18,324,5832,104976,1889568,32,1024,32768,1048576,33554432
533000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
2004000,18,324,5832,104976,1889568,34,1156,39304,1336336,45435424
890000,14,196,2744,38416,537824,32,1024,32768,1048576,33554432
3078000,13,169,2197,28561,371293,29,841,24389,707281,20511149
1539000,17,289,4913,83521,1419857,37,1369,50653,1874161,69343957
508000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1354000,17,289,4913,83521,1419857,35,1225,42875,1500625,52521875
1143000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
962000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1250000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
990000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
905000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
926000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1559000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
1312000,10,100,1000,10000,100000,32,1024,32768,1048576,33554432
923000,14,196,2744,38416,537824,35,1225,42875,1500625,52521875
879000,18,324,5832,104976,1889568,31,961,29791,923521,28629151
8.00E+05,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
1049000,14,196,2744,38416,537824,32,1024,32768,1048576,33554432
550000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1190000,17,289,4913,83521,1419857,34,1156,39304,1336336,45435424
583000,14,196,2744,38416,537824,37,1369,50653,1874161,69343957
1200000,14,196,2744,38416,537824,30,900,27000,810000,24300000
797000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
1371000,18,324,5832,104976,1889568,36,1296,46656,1679616,60466176
360000,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
1270000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1832000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
909000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1746000,18,324,5832,104976,1889568,33,1089,35937,1185921,39135393
520000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
808000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
2137000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
692000,15,225,3375,50625,759375,38,1444,54872,2085136,79235168
931000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
812000,16,256,4096,65536,1048576,34,1156,39304,1336336,45435424
866000,14,196,2744,38416,537824,35,1225,42875,1500625,52521875
1442000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
5.00E+05,14,196,2744,38416,537824,32,1024,32768,1048576,33554432
1384000,18,324,5832,104976,1889568,37,1369,50653,1874161,69343957
528000,18,324,5832,104976,1889568,30,900,27000,810000,24300000
881000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1026000,12,144,1728,20736,248832,28,784,21952,614656,17210368
1212000,12,144,1728,20736,248832,28,784,21952,614656,17210368
1620000,15,225,3375,50625,759375,29,841,24389,707281,20511149
1843000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
1602000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
1.00E+06,13,169,2197,28561,371293,33,1089,35937,1185921,39135393
737000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1699000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1699000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1025000,14,196,2744,38416,537824,32,1024,32768,1048576,33554432
1107000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
625000,11,121,1331,14641,161051,31,961,29791,923521,28629151
720000,13,169,2197,28561,371293,29,841,24389,707281,20511149
855000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1250000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1130000,18,324,5832,104976,1889568,38,1444,54872,2085136,79235168
9.00E+05,12,144,1728,20736,248832,28,784,21952,614656,17210368
1924000,17,289,4913,83521,1419857,38,1444,54872,2085136,79235168
962000,15,225,3375,50625,759375,37,1369,50653,1874161,69343957
1874000,11,121,1331,14641,161051,38,1444,54872,2085136,79235168
1573000,12,144,1728,20736,248832,30,900,27000,810000,24300000
940000,14,196,2744,38416,537824,36,1296,46656,1679616,60466176
9.00E+05,16,256,4096,65536,1048576,30,900,27000,810000,24300000
882000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1710000,18,324,5832,104976,1889568,38,1444,54872,2085136,79235168
1260000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
751000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1097000,11,121,1331,14641,161051,28,784,21952,614656,17210368
1001000,13,169,2197,28561,371293,33,1089,35937,1185921,39135393
1154000,15,225,3375,50625,759375,34,1156,39304,1336336,45435424
1.00E+06,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1250000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
857000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1211000,12,144,1728,20736,248832,31,961,29791,923521,28629151
937000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
904000,13,169,2197,28561,371293,33,1089,35937,1185921,39135393
872000,15,225,3375,50625,759375,29,841,24389,707281,20511149
1200000,9,81,729,6561,59049,34,1156,39304,1336336,45435424
1261000,17,289,4913,83521,1419857,35,1225,42875,1500625,52521875
950000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
115000,12,144,1728,20736,248832,29,841,24389,707281,20511149
673000,17,289,4913,83521,1419857,31,961,29791,923521,28629151
1084000,15,225,3375,50625,759375,37,1369,50653,1874161,69343957
1058000,14,196,2744,38416,537824,34,1156,39304,1336336,45435424
8.00E+05,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
369000,18,324,5832,104976,1889568,31,961,29791,923521,28629151
1924000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
855000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
864000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1092000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
1025000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
850000,12,144,1728,20736,248832,31,961,29791,923521,28629151
673000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
8.00E+05,14,196,2744,38416,537824,37,1369,50653,1874161,69343957
1049000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
884000,17,289,4913,83521,1419857,35,1225,42875,1500625,52521875
8.00E+05,16,256,4096,65536,1048576,31,961,29791,923521,28629151
1200000,17,289,4913,83521,1419857,32,1024,32768,1048576,33554432
664000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1111000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
850000,16,256,4096,65536,1048576,34,1156,39304,1336336,45435424
1.00E+06,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
875000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1202000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
666000,12,144,1728,20736,248832,29,841,24389,707281,20511149
923000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
788000,12,144,1728,20736,248832,28,784,21952,614656,17210368
950000,10,100,1000,10000,100000,38,1444,54872,2085136,79235168
1442000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
866000,12,144,1728,20736,248832,30,900,27000,810000,24300000
625000,9,81,729,6561,59049,34,1156,39304,1336336,45435424
680000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
693000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
875000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
2308000,17,289,4913,83521,1419857,38,1444,54872,2085136,79235168
1196000,14,196,2744,38416,537824,32,1024,32768,1048576,33554432
7.00E+05,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
721000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1500000,13,169,2197,28561,371293,32,1024,32768,1048576,33554432
1050000,15,225,3375,50625,759375,31,961,29791,923521,28629151
801000,14,196,2744,38416,537824,29,841,24389,707281,20511149
640000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1198000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
390000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
889000,12,144,1728,20736,248832,28,784,21952,614656,17210368
1076000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1127000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
750000,15,225,3375,50625,759375,37,1369,50653,1874161,69343957
855000,14,196,2744,38416,537824,33,1089,35937,1185921,39135393
525000,13,169,2197,28561,371293,31,961,29791,923521,28629151
1104000,12,144,1728,20736,248832,29,841,24389,707281,20511149
553000,12,144,1728,20736,248832,30,900,27000,810000,24300000
8.00E+05,12,144,1728,20736,248832,29,841,24389,707281,20511149
1384000,13,169,2197,28561,371293,31,961,29791,923521,28629151
425000,17,289,4913,83521,1419857,36,1296,46656,1679616,60466176
510000,11,121,1331,14641,161051,33,1089,35937,1185921,39135393
370000,12,144,1728,20736,248832,31,961,29791,923521,28629151
596000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
402000,12,144,1728,20736,248832,28,784,21952,614656,17210368
418000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1133000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
681000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
950000,11,121,1331,14641,161051,35,1225,42875,1500625,52521875
6.00E+05,10,100,1000,10000,100000,36,1296,46656,1679616,60466176
661000,13,169,2197,28561,371293,29,841,24389,707281,20511149
925000,12,144,1728,20736,248832,30,900,27000,810000,24300000
550000,12,144,1728,20736,248832,31,961,29791,923521,28629151
606000,11,121,1331,14641,161051,30,900,27000,810000,24300000
425000,10,100,1000,10000,100000,30,900,27000,810000,24300000
340000,14,196,2744,38416,537824,31,961,29791,923521,28629151
692000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
575000,12,144,1728,20736,248832,29,841,24389,707281,20511149
571000,9,81,729,6561,59049,33,1089,35937,1185921,39135393
817000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
987000,12,144,1728,20736,248832,29,841,24389,707281,20511149
616000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1026000,16,256,4096,65536,1048576,35,1225,42875,1500625,52521875
808000,12,144,1728,20736,248832,29,841,24389,707281,20511149
808000,17,289,4913,83521,1419857,30,900,27000,810000,24300000
